date,car_1,car_2,gender,death,injury,lng,lat,danger_value
20200101,機車,普通重型,男,1,0,120.372052,22.541141,10
20200101,機車,普通重型,男,1,1,121.504547,24.95763,11
20200101,機車,普通重型,女,1,1,120.695863,24.216056,11
20200101,機車,普通重型,女,1,1,120.695863,24.216056,11
20200102,機車,普通重型,男,2,2,120.58021,24.242317,22
20200102,機車,普通重型,男,1,0,121.448327,24.996772,10
20200102,機車,普通重型,男,1,0,121.435911,25.156852,10
20200103,機車,普通重型,男,1,0,121.223038,24.853138,10
20200103,機車,普通重型,男,1,0,121.23937,24.900388,10
20200103,機車,普通重型,男,1,0,120.612124,24.14566,10
20200103,機車,普通重型,男,1,0,121.261532,24.870444,10
20200104,機車,普通重型,男,1,2,120.71198,24.291861,12
20200104,機車,普通重型,男,1,2,120.71198,24.291861,12
20200105,機車,普通重型,男,1,1,120.707586,24.182433,11
20200105,機車,普通重型,男,1,1,120.677701,24.200796,11
20200105,機車,普通重型,女,1,0,120.234586,23.023211,10
20200106,機車,普通重型,男,1,0,120.2691,22.60898,10
20200106,機車,普通重型,男,1,0,120.937206,24.800548,10
20200106,機車,普通重型,女,1,0,120.295289,23.026142,10
20200107,機車,普通重型,男,1,1,120.420023,22.588886,11
20200107,機車,普通重型,女,1,1,120.420023,22.588886,11
20200107,機車,普通重型,女,1,1,120.297178,22.7845,11
20200107,機車,普通重型,女,1,0,120.5,22.88656,10
20200108,機車,普通重型,男,1,0,120.590574,22.397563,10
20200108,機車,普通重型,男,1,2,120.684359,23.900542,12
20200108,機車,普通重型,女,1,0,120.352081,23.899664,10
20200108,機車,普通重型,男,1,0,120.824485,24.621105,10
20200108,機車,普通重型,男,1,0,120.229361,23.453212,10
20200108,機車,普通重型,男,1,0,120.543812,23.508812,10
20200108,機車,普通重型,男,1,0,120.698113,24.059871,10
20200109,機車,普通重型,男,1,0,120.220595,22.968235,10
20200109,機車,普通重型,男,1,1,120.559021,23.850713,11
20200110,機車,普通重型,男,1,1,121.322367,24.991878,11
20200110,機車,普通重型,男,1,1,121.322367,24.991878,11
20200110,機車,普通重型,男,1,0,120.5033,22.84519,10
20200110,機車,普通重型,男,1,1,120.430735,23.451141,11
20200110,機車,普通重型,男,1,1,120.430735,23.451141,11
20200110,機車,普通重型,女,1,1,120.621794,22.539572,11
20200110,機車,普通重型,男,1,0,120.132672,23.128796,10
20200110,機車,普通重型,女,1,1,120.279161,23.294707,11
20200111,機車,普通重型,男,1,1,120.452016,22.521075,11
20200111,機車,普通重型,女,1,1,120.666483,24.131118,11
20200111,機車,普通重型,女,1,1,120.666483,24.131118,11
20200111,機車,普通重型,男,1,1,121.13919,24.950627,11
20200111,機車,普通重型,男,1,1,121.13919,24.950627,11
20200111,機車,普通重型,男,1,1,121.472857,24.990357,11
20200112,機車,普通重型,男,1,0,120.487838,23.777501,10
20200113,機車,普通重型,男,1,0,120.289288,23.37863,10
20200113,機車,普通重型,男,1,1,120.580725,23.446848,11
20200113,機車,普通重型,男,1,0,120.709459,24.174149,10
20200113,機車,普通重型,男,1,0,120.362461,23.77391,10
20200113,機車,普通重型,女,1,0,121.197179,24.974831,10
20200113,機車,普通重型,男,1,0,121.426018,24.968611,10
20200114,機車,普通重型,男,1,0,121.370182,25.009348,10
20200114,機車,普通重型,男,1,0,120.82641,22.066582,10
20200114,機車,普通重型,女,1,1,120.221618,23.081927,11
20200115,機車,普通重型,男,1,0,120.267464,22.822911,10
20200115,機車,普通重型,男,1,0,120.282028,22.761395,10
20200115,機車,普通重型,男,1,0,120.2101,23.096681,10
20200115,機車,普通重型,男,1,0,120.186132,22.955838,10
20200115,機車,普通重型,男,1,0,120.268873,22.969587,10
20200115,機車,普通重型,男,1,2,120.695962,23.836941,12
20200115,機車,普通重型,女,1,2,120.695962,23.836941,12
20200116,機車,普通重型,男,1,0,120.260442,22.991141,10
20200116,機車,普通重型,男,1,0,121.060668,24.938223,10
20200116,機車,普通重型,男,1,0,121.342746,24.961503,10
20200116,機車,普通重型,男,1,1,120.498534,22.688915,11
20200116,機車,普通重型,女,1,1,120.498534,22.688915,11
20200117,機車,普通重型,男,1,0,120.568867,23.767712,10
20200117,機車,普通重型,女,1,1,120.423694,23.699277,11
20200117,機車,普通重型,女,1,1,120.423694,23.699277,11
20200117,機車,普通重型,女,1,0,121.527472,25.013183,10
20200117,機車,普通重型,男,1,0,121.622037,25.004816,10
20200117,機車,普通重型,女,1,0,121.42853,24.969319,10
20200117,機車,普通重型,男,1,0,120.73097,24.23753,10
20200117,機車,普通重型,女,1,1,120.688073,23.991751,11
20200117,機車,普通重型,男,1,0,120.447399,23.731014,10
20200118,機車,普通重型,男,1,0,120.49318,24.170913,10
20200118,機車,普通重型,男,1,0,120.433113,22.723888,10
20200118,機車,普通重型,女,1,0,121.484853,25.082933,10
20200118,機車,普通重型,男,1,0,121.484853,25.082933,10
20200118,機車,普通重型,男,1,1,120.435069,23.45473,11
20200118,機車,普通重型,男,1,2,121.675614,24.676789,12
20200119,機車,普通重型,男,1,0,120.504788,22.462323,10
20200119,機車,普通重型,女,1,1,120.4334,22.72376,11
20200119,機車,普通重型,男,1,1,120.239389,22.988985,11
20200120,機車,普通重型,女,1,0,120.51151,23.403914,10
20200120,機車,普通重型,男,1,0,121.779511,24.467098,10
20200121,機車,普通重型,女,1,0,120.979068,24.882118,10
20200121,機車,普通重型,女,1,2,120.282635,22.931674,12
20200122,機車,普通重型,男,1,1,120.199765,23.277166,11
20200122,機車,普通重型,男,1,1,120.199765,23.277166,11
20200122,機車,普通重型,女,1,0,121.154752,25.053188,10
20200122,機車,普通重型,男,1,0,120.193402,23.657818,10
20200122,機車,普通重型,女,1,0,121.010849,22.622029,10
20200122,機車,普通重型,男,1,0,120.621545,22.610855,10
20200123,機車,普通重型,男,1,2,120.150653,22.995121,12
20200123,機車,普通重型,女,1,2,120.637879,22.690358,12
20200123,機車,普通重型,男,1,0,120.40338,23.817935,10
20200123,機車,普通重型,男,1,0,120.65415,24.038673,10
20200123,機車,普通重型,女,1,0,120.733205,24.169225,10
20200124,機車,普通重型,女,1,0,121.559025,22.079766,10
20200124,機車,普通重型,男,1,0,120.275565,23.030466,10
20200124,機車,普通重型,男,1,1,120.3957,22.63511,11
20200124,機車,普通重型,女,1,1,120.3957,22.63511,11
20200124,機車,普通重型,女,1,0,120.975391,24.821754,10
20200124,機車,普通重型,男,1,0,120.762249,21.959358,10
20200125,機車,普通重型,男,1,1,120.440212,22.648391,11
20200125,機車,普通重型,男,1,1,120.30152,22.62716,11
20200125,機車,普通重型,男,1,0,120.56306,23.373005,10
20200125,機車,普通重型,女,1,1,120.5028,22.93095,11
20200125,機車,普通重型,男,1,0,120.238215,23.120267,10
20200125,機車,普通重型,男,1,0,120.503473,22.478369,10
20200126,機車,普通重型,女,1,2,121.204226,24.870953,12
20200126,機車,普通重型,男,1,0,121.59173,23.927031,10
20200126,機車,普通重型,男,1,1,120.5445,24.0775,11
20200127,機車,普通重型,女,1,0,120.769285,24.197675,10
20200127,機車,普通重型,男,1,1,121.218714,24.954447,11
20200127,機車,普通重型,男,1,0,120.440306,23.465787,10
20200128,機車,普通重型,女,1,1,120.616904,24.188609,11
20200128,機車,普通重型,男,1,1,120.616904,24.188609,11
20200128,機車,普通重型,女,1,1,120.616904,24.188609,11
20200128,機車,普通重型,男,1,1,120.616904,24.188609,11
20200128,機車,普通重型,男,1,6,120.706375,24.246761,16
20200129,機車,普通重型,男,1,1,120.428829,22.682463,11
20200129,機車,普通重型,女,1,1,120.428829,22.682463,11
20200129,機車,普通重型,男,1,0,121.537907,25.025667,10
20200129,機車,普通重型,男,1,1,121.212125,24.951494,11
20200129,機車,普通重型,男,1,1,121.212125,24.951494,11
20200129,機車,普通重型,男,1,1,121.212125,24.951494,11
20200130,機車,普通重型,男,1,0,120.332388,22.947098,10
20200130,機車,普通重型,女,1,0,120.954434,24.877908,10
20200130,機車,普通重型,男,1,1,120.316172,22.647867,11
20200130,機車,普通重型,男,1,1,120.316172,22.647867,11
20200131,機車,普通重型,男,1,0,121.460936,23.326655,10
20200131,機車,普通重型,女,1,0,120.365555,22.589883,10
20200131,機車,普通重型,男,1,0,121.374971,25.029664,10
20200131,機車,普通重型,男,1,0,120.694917,24.052294,10
20200202,機車,普通重型,男,1,0,120.4166,22.78099,10
20200203,機車,普通重型,男,1,2,120.416775,24.077235,12
20200203,機車,普通重型,男,1,0,120.86622,24.64073,10
20200203,機車,普通重型,男,1,0,120.86622,24.64073,10
20200203,機車,普通重型,男,1,0,120.934367,24.790406,10
20200203,機車,普通重型,男,1,1,120.969854,24.728684,11
20200203,機車,普通重型,女,1,0,120.343007,22.65044,10
20200203,機車,普通重型,男,1,0,121.429959,25.11793,10
20200203,機車,普通重型,男,1,0,121.443241,25.024787,10
20200204,機車,普通重型,男,1,0,121.441132,25.000711,10
20200204,機車,普通重型,男,1,0,121.441132,25.000711,10
20200204,機車,普通重型,男,1,0,121.257037,24.868543,10
20200204,機車,普通重型,女,1,0,120.548323,23.89076,10
20200204,機車,普通重型,女,1,0,120.371235,22.574926,10
20200205,機車,普通重型,男,1,0,121.459527,25.145854,10
20200205,機車,普通重型,女,1,1,120.674084,24.189546,11
20200205,機車,普通重型,男,1,1,120.674084,24.189546,11
20200205,機車,普通重型,男,1,0,121.384077,25.100406,10
20200206,機車,普通重型,女,1,0,120.693243,24.050776,10
20200206,機車,普通重型,男,1,0,120.422738,22.582813,10
20200206,機車,普通重型,男,1,0,120.812217,24.38724,10
20200206,機車,普通重型,男,1,0,120.530841,22.552879,10
20200206,機車,普通重型,男,1,2,120.65412,24.221181,12
20200207,機車,普通重型,女,1,0,121.463212,25.039614,10
20200207,機車,普通重型,男,1,0,121.21929,24.879958,10
20200207,機車,普通重型,男,1,0,120.204118,22.97518,10
20200207,機車,普通重型,男,1,0,120.593539,24.095809,10
20200207,機車,普通重型,男,1,0,121.265152,25.118334,10
20200207,機車,普通重型,男,1,0,120.672085,24.201262,10
20200207,機車,普通重型,男,1,1,120.707499,24.260261,11
20200207,機車,普通重型,男,1,1,121.790365,24.760453,11
20200207,機車,普通重型,男,1,0,120.4733,24.15059,10
20200208,機車,普通重型,男,1,0,120.719306,24.082765,10
20200208,機車,普通重型,女,1,1,120.3063,22.67525,11
20200208,機車,普通重型,女,1,1,121.387489,25.008862,11
20200209,機車,普通重型,男,1,0,121.332019,24.988436,10
20200209,機車,普通重型,男,1,0,121.363891,23.097829,10
20200209,機車,普通重型,男,1,1,120.306121,22.602985,11
20200210,機車,普通重型,女,1,1,121.511145,25.063,11
20200210,機車,普通重型,男,1,1,121.511145,25.063,11
20200210,機車,普通重型,男,1,0,120.705886,24.116983,10
20200210,機車,普通重型,男,1,0,120.413114,22.574253,10
20200210,機車,普通重型,男,1,0,120.5327,22.95206,10
20200210,機車,普通重型,男,1,0,120.713886,24.07999,10
20200210,機車,普通重型,女,1,0,120.463795,22.586757,10
20200211,機車,普通重型,女,1,0,120.37336,22.536138,10
20200211,機車,普通重型,男,1,0,120.460348,23.472735,10
20200211,機車,普通重型,男,1,0,121.365025,25.027631,10
20200212,機車,普通重型,女,1,2,120.216256,23.022086,12
20200212,機車,普通重型,男,1,0,121.641586,25.062414,10
20200212,機車,普通重型,男,1,0,120.353623,22.705133,10
20200212,機車,普通重型,男,1,0,120.350645,22.791981,10
20200213,機車,普通重型,男,1,0,120.190883,23.058191,10
